Date,Value
2019-05-30,6.559
2019-05-29,6.714
2019-05-28,6.753
2019-05-27,6.767
2019-05-24,6.7988
2019-05-23,6.8308
2019-05-22,6.811
2019-05-21,6.7485
2019-05-20,6.7315
2019-05-17,6.7659
2019-05-16,6.7483
2019-05-15,6.778
2019-05-14,6.7732
2019-05-13,6.8681
2019-05-10,6.8837
2019-05-09,6.9725
2019-05-08,6.9272
2019-05-07,6.8751
2019-05-06,6.7429
2019-05-03,6.6644
2019-05-02,6.6872
2019-04-30,6.6913
2019-04-29,6.6207
2019-04-26,6.6242
2019-04-25,6.6255
2019-04-24,6.5885
2019-04-23,6.539
2019-04-18,6.5486
2019-04-17,6.4967
2019-04-16,6.5718
2019-04-15,6.5637
2019-04-12,6.535
2019-04-11,6.4724
2019-04-10,6.4144
2019-04-09,6.4056
2019-04-08,6.3781
2019-04-05,6.2855
2019-04-04,6.323
2019-04-03,6.3014
2019-04-02,6.2141
2019-04-01,6.2135
2019-03-29,6.3446
2019-03-28,6.3408
2019-03-27,6.232
2019-03-26,6.2404
2019-03-25,6.3425
2019-03-22,6.2979
2019-03-21,6.216
2019-03-20,6.2152
2019-03-19,6.2191
2019-03-18,6.1978
2019-03-15,6.1858
2019-03-14,6.1842
2019-03-13,6.1771
2019-03-12,6.1536
2019-03-11,6.1177
2019-03-08,6.1287
2019-03-07,6.1171
2019-03-06,6.1247
2019-03-05,6.1029
2019-03-04,6.1023
2019-03-01,6.123
2019-02-28,6.0679
2019-02-27,6.0257
2019-02-26,6.0254
2019-02-25,6.0321
2019-02-22,6.0378
2019-02-21,6.0442
2019-02-20,6.019
2019-02-19,5.9957
2019-02-18,6.0079
2019-02-15,5.9322
2019-02-14,5.9912
2019-02-13,5.9383
2019-02-12,5.9365
2019-02-11,5.9588
2019-02-08,5.9488
2019-02-07,5.9706
2019-02-06,5.9411
2019-02-05,5.9444
2019-02-04,5.9694
2019-02-01,5.9884
2019-01-31,5.9689
2019-01-30,6.0288
2019-01-29,6.0665
2019-01-28,6.0534
2019-01-25,5.9806
2019-01-24,5.9895
2019-01-23,6.0341
2019-01-22,6.075
2019-01-21,6.0667
2019-01-18,6.1091
2019-01-17,6.122
2019-01-16,6.1166
2019-01-15,6.228
2019-01-14,6.3241
2019-01-11,6.3024
2019-01-10,6.2709
2019-01-09,6.3399
2019-01-08,6.2851
2019-01-07,6.1325
2019-01-04,6.1707
2019-01-03,6.2248
2019-01-02,6.113
2018-12-31,6.0588
2018-12-28,6.04
2018-12-27,6.0067
2018-12-24,6.048
2018-12-21,6.0546
2018-12-20,6.0319
2018-12-19,6.086
2018-12-18,6.0782
2018-12-17,6.0958
2018-12-14,6.0799
2018-12-13,6.0968
2018-12-12,6.0893
2018-12-11,6.1295
2018-12-10,6.0499
2018-12-07,6.0619
2018-12-06,6.0947
2018-12-05,6.0453
2018-12-04,6.1035
2018-12-03,5.946
2018-11-30,5.8753
2018-11-29,5.8747
2018-11-28,5.9268
2018-11-27,5.9313
2018-11-26,5.9459
2018-11-23,5.9992
2018-11-22,6.0336
2018-11-21,6.0888
2018-11-20,6.1203
2018-11-19,6.0735
2018-11-16,6.0754
2018-11-15,6.1047
2018-11-14,6.1725
2018-11-13,6.1857
2018-11-12,6.1282
2018-11-09,6.2261
2018-11-08,6.1926
2018-11-07,6.1357
2018-11-06,6.1246
2018-11-05,6.1783
2018-11-02,6.2539
2018-11-01,6.3245
2018-10-31,6.2255
2018-10-30,6.2613
2018-10-29,6.3105
2018-10-26,6.3949
2018-10-25,6.4446
2018-10-24,6.4991
2018-10-23,6.6227
2018-10-22,6.509
2018-10-19,6.4544
2018-10-18,6.419
2018-10-17,6.5818
2018-10-16,6.707
2018-10-15,6.686
2018-10-12,6.802
2018-10-11,6.9401
2018-10-10,6.9886
2018-10-09,7.0183
2018-10-08,7.0434
2018-10-05,7.0963
2018-10-04,7.0525
2018-10-03,7.0058
2018-10-02,6.9419
2018-10-01,6.908
2018-09-28,6.965
2018-09-27,7.0415
2018-09-26,7.182
2018-09-25,7.2323
2018-09-24,7.3093
2018-09-21,7.3935
2018-09-20,7.432
2018-09-19,7.3236
2018-09-18,7.5053
2018-09-17,7.3332
2018-09-14,7.1474
2018-09-13,7.2068
2018-09-12,7.3781
2018-09-11,7.4953
2018-09-10,7.4763
2018-09-07,7.4772
2018-09-06,7.6282
2018-09-05,7.724
2018-09-04,7.7188
2018-09-03,7.7104
2018-08-31,7.6386
2018-08-30,7.856
2018-08-29,7.5236
2018-08-28,7.3316
2018-08-27,7.2082
2018-08-24,7.0204
2018-08-23,7.0273
2018-08-22,7.0071
2018-08-21,7.0657
2018-08-20,6.9863
2018-08-17,7.0282
2018-08-16,6.6368
2018-08-15,6.9375
2018-08-14,7.4283
2018-08-13,7.8651
2018-08-10,6.9309
2018-08-09,6.2639
2018-08-08,6.1257
2018-08-07,6.1448
2018-08-06,5.9627
2018-08-03,5.8958
2018-08-02,5.872
2018-08-01,5.7654
2018-07-31,5.7319
2018-07-30,5.7078
2018-07-27,5.673
2018-07-26,5.6454
2018-07-25,5.6563
2018-07-24,5.7054
2018-07-23,5.5624
2018-07-20,5.5879
2018-07-19,5.5957
2018-07-18,5.6121
2018-07-17,5.6613
2018-07-16,5.6893
2018-07-13,5.6467
2018-07-12,5.6364
2018-07-11,5.6103
2018-07-10,5.5065
2018-07-09,5.3262
2018-07-06,5.4038
2018-07-05,5.4002
2018-07-04,5.4692
2018-07-03,5.4444
2018-07-02,5.3743
2018-06-29,5.3385
2018-06-28,5.3305
2018-06-27,5.37
2018-06-26,5.4053
2018-06-25,5.4557
2018-06-22,5.4639
2018-06-21,5.4754
2018-06-20,5.4943
2018-06-19,5.4971
2018-06-18,5.4821
2018-06-15,5.4671
2018-06-14,5.4251
2018-06-13,5.4603
2018-06-12,5.3762
2018-06-11,5.3296
2018-06-08,5.2798
2018-06-07,5.291
2018-06-06,5.4078
2018-06-05,5.3857
2018-06-04,5.4193
2018-06-01,5.3991
2018-05-31,5.2628
2018-05-30,5.1818
2018-05-29,5.334
2018-05-28,5.3482
2018-05-25,5.5153
2018-05-24,5.5804
2018-05-23,5.7086
2018-05-22,5.4704
2018-05-21,5.4012
2018-05-18,5.2714
2018-05-17,5.2497
2018-05-16,5.2178
2018-05-15,5.2719
2018-05-14,5.1748
2018-05-11,5.1025
2018-05-10,5.0429
2018-05-09,5.0824
2018-05-08,5.0904
2018-05-07,5.0827
2018-05-04,5.0963
2018-05-03,5.036
2018-05-02,4.9813
2018-04-30,4.8896
2018-04-27,4.8882
2018-04-26,4.9531
2018-04-25,5.0008
2018-04-24,4.9985
2018-04-23,5.0079
2018-04-20,4.9803
2018-04-19,4.9838
2018-04-18,5.071
2018-04-17,5.0734
2018-04-16,5.0816
2018-04-13,5.0411
2018-04-12,5.0473
2018-04-11,5.1832
2018-04-10,5.0622
2018-04-09,5.0018
2018-04-06,4.9644
2018-04-05,4.9543
2018-04-04,4.9262
2018-04-03,4.8967
2018-03-29,4.8976
2018-03-28,4.9561
2018-03-27,4.9429
2018-03-26,4.9464
2018-03-23,4.888
2018-03-22,4.8372
2018-03-21,4.8352
2018-03-20,4.8238
2018-03-19,4.8584
2018-03-16,4.8147
2018-03-15,4.8097
2018-03-14,4.7924
2018-03-13,4.7822
2018-03-12,4.7212
2018-03-09,4.6939
2018-03-08,4.7326
2018-03-07,4.7152
2018-03-06,4.7013
2018-03-05,4.6939
2018-03-02,4.6998
2018-03-01,4.6435
2018-02-28,4.6451
2018-02-27,4.6629
2018-02-26,4.6579
2018-02-23,4.6575
2018-02-22,4.6648
2018-02-21,4.665
2018-02-20,4.6566
2018-02-19,4.6575
2018-02-16,4.6784
2018-02-15,4.7046
2018-02-14,4.6929
2018-02-13,4.6865
2018-02-12,4.6648
2018-02-09,4.697
2018-02-08,4.6701
2018-02-07,4.6681
2018-02-06,4.6647
2018-02-05,4.6774
2018-02-02,4.6795
2018-02-01,4.6677
2018-01-31,4.6732
2018-01-30,4.6833
2018-01-29,4.6755
2018-01-26,4.6635
2018-01-25,4.641
2018-01-24,4.6263
2018-01-23,4.6295
2018-01-22,4.6552
2018-01-19,4.6557
2018-01-18,4.6374
2018-01-17,4.6654
2018-01-16,4.6437
2018-01-15,4.6442
2018-01-12,4.5587
2018-01-11,4.5648
2018-01-10,4.5548
2018-01-09,4.4843
2018-01-08,4.4887
2018-01-05,4.5127
2018-01-04,4.5367
2018-01-03,4.5303
2018-01-02,4.534
2017-12-29,4.5464
2017-12-28,4.5459
2017-12-27,4.5475
2017-12-22,4.525
2017-12-21,4.5313
2017-12-20,4.5366
2017-12-19,4.5294
2017-12-18,4.5253
2017-12-15,4.5603
2017-12-14,4.5855
2017-12-13,4.5242
2017-12-12,4.504
2017-12-11,4.5084
2017-12-08,4.5165
2017-12-07,4.5553
2017-12-06,4.5489
2017-12-05,4.5823
2017-12-04,4.6262
2017-12-01,4.6718
2017-11-30,4.6638
2017-11-29,4.6794
2017-11-28,4.6684
2017-11-27,4.6756
2017-11-24,4.6826
2017-11-23,4.642
2017-11-22,4.6557
2017-11-21,4.6304
2017-11-20,4.6211
2017-11-17,4.5846
2017-11-16,4.5465
2017-11-15,4.5979
2017-11-14,4.5477
2017-11-13,4.5318
2017-11-10,4.5097
2017-11-09,4.4962
2017-11-08,4.505
2017-11-07,4.4673
2017-11-06,4.4815
2017-11-03,4.4927
2017-11-02,4.4519
2017-11-01,4.4394
2017-10-31,4.4164
2017-10-30,4.3851
2017-10-27,4.4361
2017-10-26,4.4338
2017-10-25,4.397
2017-10-24,4.3751
2017-10-23,4.3386
2017-10-20,4.3289
2017-10-19,4.3324
2017-10-18,4.3225
2017-10-17,4.3051
2017-10-16,4.2975
2017-10-13,4.3225
2017-10-12,4.3428
2017-10-11,4.3337
2017-10-10,4.3385
2017-10-09,4.3636
2017-10-06,4.2345
2017-10-05,4.1905
2017-10-04,4.2016
2017-10-03,4.2117
2017-10-02,4.2067
2017-09-29,4.2013
2017-09-28,4.1994
2017-09-27,4.1902
2017-09-26,4.1739
2017-09-25,4.1803
2017-09-22,4.1804
2017-09-21,4.1776
2017-09-20,4.1642
2017-09-19,4.1764
2017-09-18,4.134
2017-09-15,4.114
2017-09-14,4.1134
2017-09-13,4.1232
2017-09-12,4.0948
2017-09-11,4.0779
2017-09-08,4.1191
2017-09-07,4.0893
2017-09-06,4.1045
2017-09-05,4.0954
2017-09-04,4.0826
2017-09-01,4.0981
2017-08-31,4.1063
2017-08-30,4.1235
2017-08-29,4.147
2017-08-28,4.1063
2017-08-25,4.108
2017-08-24,4.1081
2017-08-23,4.1338
2017-08-22,4.117
2017-08-21,4.1243
2017-08-18,4.1376
2017-08-17,4.1197
2017-08-16,4.1319
2017-08-15,4.1457
2017-08-14,4.1568
2017-08-11,4.1765
2017-08-10,4.1462
2017-08-09,4.1518
2017-08-08,4.1686
2017-08-07,4.1662
2017-08-04,4.1903
2017-08-03,4.1992
2017-08-02,4.1786
2017-08-01,4.1602
2017-07-31,4.1314
2017-07-28,4.1462
2017-07-27,4.1303
2017-07-26,4.1406
2017-07-25,4.1647
2017-07-24,4.1378
2017-07-21,4.1138
2017-07-20,4.0652
2017-07-19,4.0576
2017-07-18,4.075
2017-07-17,4.0511
2017-07-14,4.0663
2017-07-13,4.0763
2017-07-12,4.1182
2017-07-11,4.1431
2017-07-10,4.1122
2017-07-07,4.1465
2017-07-06,4.1367
2017-07-05,4.0611
2017-07-04,4.0377
2017-07-03,4.0322
2017-06-30,4.0134
2017-06-29,4.0143
2017-06-28,4.0079
2017-06-27,3.9525
2017-06-26,3.9244
2017-06-23,3.9235
2017-06-22,3.9277
2017-06-21,3.9311
2017-06-20,3.945
2017-06-19,3.9297
2017-06-16,3.9225
2017-06-15,3.9266
2017-06-14,3.9362
2017-06-13,3.9519
2017-06-12,3.9459
2017-06-09,3.9444
2017-06-08,3.9865
2017-06-07,3.9747
2017-06-06,3.9736
2017-06-05,3.9562
2017-06-02,3.9601
2017-06-01,3.9715
2017-05-31,3.9684
2017-05-30,3.9738
2017-05-29,4.0022
2017-05-26,3.9963
2017-05-25,3.9967
2017-05-24,3.9924
2017-05-23,3.9971
2017-05-22,4.0027
2017-05-19,4.0275
2017-05-18,4.0461
2017-05-17,3.9472
2017-05-16,3.933
2017-05-15,3.902
2017-05-12,3.9038
2017-05-11,3.8921
2017-05-10,3.9057
2017-05-09,3.9148
2017-05-08,3.8985
2017-05-05,3.9054
2017-05-04,3.891
2017-05-03,3.8603
2017-05-02,3.8621
2017-04-28,3.8756
2017-04-27,3.8797
2017-04-26,3.8991
2017-04-25,3.9127
2017-04-24,3.8969
2017-04-21,3.9001
2017-04-20,3.9067
2017-04-19,3.9292
2017-04-18,3.9423
2017-04-13,3.8991
2017-04-12,3.8965
2017-04-11,3.9392
2017-04-10,3.9494
2017-04-07,3.9726
2017-04-06,3.955
2017-04-05,3.9404
2017-04-04,3.8921
2017-04-03,3.8831
2017-03-31,3.8894
2017-03-30,3.9119
2017-03-29,3.9246
2017-03-28,3.9353
2017-03-27,3.9203
2017-03-24,3.9176
2017-03-23,3.9038
2017-03-22,3.9156
2017-03-21,3.8972
2017-03-20,3.9067
2017-03-17,3.8896
2017-03-16,3.903
2017-03-15,3.9497
2017-03-14,3.9776
2017-03-13,3.9952
2017-03-10,3.9801
2017-03-09,3.9603
2017-03-08,3.9434
